,Review Rate,Review Time,Review Text
0, 5 stars ,4 months ago,"Nice and clean place.

Stand beneath the clocks of Melbourne's iconic railway station, as tourists and …"
1, 4 stars ,4 months ago,"Flinders Street the center door and beggining of all commuting train runs to outside.Flinders street never gets old always young and healthy, there's always room to move and plenty to do when you step outside, attractive scenery, food, shopping, excise, entertainment and more"
2, 4 stars ,3 months ago,"Located in the center of Melbourne, next to Yarra River. The station can be very hectic most of the time. There were lots of food stalls available. The toilets needs better cleaning."
3, 5 stars ,6 months ago,"what an amazing location, this is a historical location been standing for a long time, seen the pictures of this cool train station in old day & the modern day, they both look amazing. the old day station was full of character & gorgeous, people are walking around in the old dress and suit make the station look busy and full of story."
4, 5 stars ,4 weeks ago,A great place to meet someone in the city and always meet under the clocks. An iconic clock tower at the end of Elizabeth Street marks a massive station that never doesn't have a train there during the day. The concourse is almost as big as …
5, 5 stars ,8 months ago,"I haven't seen Flinders station this quiet and empty in a long time. I remember back in the days when I was still in high school and mobile phones were not around yet. My friends and I would use this as our meeting point. ""let's meet at …"
6, 3 stars ,a month ago,"Flinders Street station rarely changes. Good public transport to just about anywhere in Melbourne starts here. Trains going all over Melbourne.  Multiple trams also passing by on a regular basis. Great starting point to visit Melbourne.  Meet you under the clocks
🕒 🕕 🕓"
7, 5 stars ,2 months ago,I've been here quite few times with my family. But today I went there all by my self. There was nothing to fear about. Not much crowded. There are clean toilets in the station. Some places to buy a coffee or some food as well. There are people who are available for help if we needed. Very clean and safe place as to my experience.
8, 5 stars ,3 weeks ago,"Iconic! But needs to pretty up the line as you pull in its always full of trash, railway cast offs, broken equipment, and it really needs to be better cared for. Today I saw a discarded pram tossed in a stairwell as we pulled up which was …"
9, 5 stars ,a month ago,One of the Iconic place in Melbourne. If you enjoy old architecture don’t miss this place.  A stroll around the Flinders street station gives a great opportunity for photo enthusiasts.
10, 5 stars ,11 months ago,Without taking into consideration how terribly Public Transport Victoria run the public transport systems and you may not arrive at the station the train was meant to go to mid journey… Flinders St Station is my favourite station in …
11, 5 stars ,a week ago,"This Edwardian railway station is a cultural, social and transportational cornerstone of Melbourne city. Sitting opposite Flinders street square, this station provides the ideal backdrop for the Melbourne city skyline. I would highly …"
12, 5 stars ,3 days ago,"This place is truly amazing
For one it's a enthusiasts dream to be here, I use this station every week, and I love it. The staff here are amazing, that includes the platform staff, …"
13, 4 stars ,4 months ago,It's clean good must of the time in time. But some time really unacceptable cancellation ... Make day hard as impossible.... Have a respectful personals . God information centre. Have a coffee shop multiple vending machine. Protection …
14, 5 stars ,4 months ago,"Flinders Street Railway Station
Opened in 1854. Did you know there Abandoned Ballroom at Rail station. Back in the 1950s and 60s, Flinders Street Station was home to one of the most popular …"
15, 4 stars ,11 months ago,"flinders st station is without doubt the heart of melbourne, the iconic heritage building .
Beautiful architecture and a large expansive transport hub which is close to …"
16, 5 stars ,a month ago,"Full of old stories in Melbourne city.
I’ve been here many times always love this amazing building."
17, 5 stars ,3 months ago,Solid open air railway station in Melbourne City.
18, 4 stars ,4 months ago,"While the station has historical significance and is operating alright, I think the rail system in Victoria does need to be changed as it is currently based on 19th century british railway designs. It does look pretty nice though."
19, 5 stars ,3 weeks ago,"Magnificent old structure. The stories it could tell.
Two thumbs up."
20, 1 star ,4 months ago,"Lovely station but please hire lovely staff. Chinese lady attendant that’s rude and nasty. We went to sugar station to get lollies and she refuse to let us out of the station after. Ridiculously rude and unhelpful. Go work in a prison, will suit her better."
21, 5 stars ,4 months ago,The iconic Flinders Street Train Station with the iconic Tram 35. You never get enough of this place.
22, 5 stars ,3 months ago,One of the most iconic and beautiful buildings in Melbourne
23, 5 stars ,a year ago,I’ve always wanted to see the awesome British  station because It’s kind of landmark of Melbourne. …
24, 5 stars ,3 months ago,The most iconic train station in Melbourne 🙌
25, 5 stars ,a month ago,Stunning sight at the center of the CBD!
26, 5 stars ,6 months ago,"Meet me on the steps underneath the Flinders Street clocks, surely one of the most iconic places in Melbourne.  If not actually catching a train a great place to people watch, the good, the bad and the ugly!!  Can get a coffee or snack from …"
27, 5 stars ,a month ago,You can't miss this iconic railway station when you are visiting Melbourne
28, 1 star ,2 months ago,"When one of those myki entrances wasnt working, the staff member there said ""GO THROUGH"" in a nasty voice. Its a great station but the staff are rude as. Southern Cross staff are much better."
29, 5 stars ,a month ago,Such an awesome station! The building looks really cool and all the metropolitan trains stop here.
30, 4 stars ,a year ago,"the heart of railways in victoria, first opened in 1854 and the domed station building opened in 1909. all suburban trains start and end their journeys here. although now its all overrun by foreign people and it just isnt the same as it was 50 years ago."
31, 4 stars ,3 years ago,"Very easy to navigate, multiple lines to get you in-to and out-of the city. It's located right in the heart of the CBD, which is centrally located near most major malls, offices and attractions. …"
32, 5 stars ,3 months ago,"One of my favourite stations - it has an aura of its own, beautiful architecture and convenient location (next to Yarra waterfront, Fed Square, Elizabeth St, etc.)"
33, 4 stars ,2 months ago,"So huge, complete different with the suburbs stations. However, the toilets are not quite clean. Well, such a busy station always need an extra work.."
34, 5 stars ,11 months ago,Beautiful old railway station with nice architecture in the centre of Melbourne City.
35, 4 stars ,a year ago,Nice place for getting different trains. Has facility for toilets and various small shops for food and we can also get V line tickets.
36, 3 stars ,a month ago,Well from what I remember was that the station had tens of millions of dollars spent on fixing the station up but it still looks like the same decrepit station it has always been.  U can call it the Flinders Station patina
37, 4 stars ,3 years ago,"Melbourne train line is developed in advanced way which carry people from all around Melbourne, many lines to get you in-to and out-of the city and most lines have train every 15 minutes or less depend upon which side you live South East …"
38, 3 stars ,5 months ago,Always have trouble finding knowledgeable staff - am usually pointed in the direction of a different staff member and told to ask them. I find the P.S.O.'s are more helpful than metro staff. V-Line staff seem to know more of the Metro time …
39, 4 stars ,a year ago,"Is the main train station in Melbourne, from Flinders you can go almost anywhere in the city.
It can be a little confusing for those who are not yet used to get trains in …"
40, 4 stars ,2 months ago,Well signposted - it’s easy to navigate your way around Flinders street station. The station is pretty clean.
41, 4 stars ,2 years ago,"GRAND OLD DAME OF MELBOURNE TRAIN STATIONS
This amazing building is a central hub for Melbourne's train network. Built in the glory days of Marvellous Melbourne it is in need of a major restoration. …"
42, 5 stars ,2 years ago,"This station is the primary metropolitan Melbourne train station, with all lines departing this station. It also has a few regional lines departing, such as Traralgon, so double-check if you are travelling regional (most regional depart …"
43, 5 stars ,2 years ago,"Flinders Street Station is not only a Australian icon but it's Melbourne's heart.
Being the Metropolitan train hub, with a major tram stop out the front doors and …"
44, 5 stars ,4 months ago,"This railway station is an iconic and cultural Melbourne landmark. It's the oldest railway station in Australia, and is the busiest suburban railway station in the southern hemisphere; by far the busiest railway station on the Metro …"
45, 5 stars ,2 years ago,The centre of all train lines connections right around the entire city of Melbourne and country region area of Victoria this is where it begins in the morning throughout the day and stops at night.Flinders street station is the biggest door …
46, 5 stars ,2 years ago,"Flinders Street Station exterior  hasn't changed in decades and it's just the way the locals like it. Inside however, it has become slightly more modernised with computer screens for each rail line. Plenty of places to buy food albeit it …"
47, 4 stars ,3 years ago,"The station is architecturally beautiful and with a great location in the city, pity there aren’t many choice for food within the station. The sunset view of Melbourne from the station is something to remember by."
48, 5 stars ,4 years ago,To use this station you will require Myki or Vline ticket; both tickets are available under the corner ‘clocks’ via the ticket selling booths which are constantly manned.  This venue is a common meeting place “Under the Clocks @ Flinders …
49, 5 stars ,a week ago,Iconic railway station along the Yarra River in Central Melbourne.
50, 5 stars ,a month ago,A night and day view of Flinders Street Railway Station~~
51, 5 stars ,2 weeks ago,the main station in cbd. nice and clean place many coffee shop nearby and food too.
52, 5 stars ,4 years ago,"Melbournes main transport hub with train meeting trams within walking distance to Southbank, Federation Square and the Bourke St Mall area.
Fairly easy to navigate with plenty of friendly staff on hand to help out."
53, 5 stars ,3 months ago,"The Rail Heart of Melbourne, where all the trains meet. 14 platforms to choose from & and a vending machine on everyone. From here the rail is your limit, you can go east, west, north or just in a loop."
54, 4 stars ,2 years ago,The historic building of the Flinders Street station still operates as a train station. It is usually quite busy with people moving about to catch a train. There are electronic signboards around most exits so you can check the trains before heading in. There are also quite a few entrances/exits around the station.
55, 5 stars ,3 years ago,I believe it is the busiest train station in Melbourne. The main entrance to the station is an historical dome structure and any tourist would love to click a pic of it. What a magnificent view amongst city skyscrapers and heavily crowded …
56, 4 stars ,5 months ago,Mumbai Central Station suits Melbourne better anyway. The mix up by the developer/builder turned out to be a blessing. I'd love to go to Mumbai one day to see the actual Flinders Street Station.
57, 5 stars ,4 months ago,"I know it is a heart of the city
But best station ever. It includes Powerpods, shops,  kind of PTV hub. I like to visit it for no reason (not to travel on train, just to explore new shops and foods) ."
58, 4 stars ,6 months ago,"Flinders Street Station is Australia’s oldest train station, and with its prominent green copper dome, distinctive yellow facade, arched entrance, tower, and clocks, it is one of Melbourne's most recognisable landmarks. …"
59, 5 stars ,3 years ago,"Review based on weekend 4:30pm
Ambiance: 8/10
Food: N.A. …"
60, 4 stars ,3 years ago,"Stunning building which is the main train station for central Melbourne.  The architecture is gorgeous and the stained glass fab.  Don’t come here just to take a train, come to have a look around, you will be glad you did.  It has a lot of history attached and you can find out lots of information about it inside."
61, 3 stars ,2 years ago,This station is usually busy but it is one of the cleanest railway stations that Melbourne have. There are also lots of food outlet around so there's no worries about busy people to work on their food while traveling. And the historical view is ❤😊💯👌
62, 5 stars ,6 months ago,"Stunning building!! Love the look of this place. Inside the station isn’t too impressive but it’s a landmark of Melbourne and deserves a five star rating, you can’t come to Melbourne and not check out this piece of history."
63, 3 stars ,6 months ago,"That's OK but could be better, So busy station some time is much people in there, should be not have shop for. food in station the smell is not pleasant to everyone especially now, different life the one liven now, we still in epidemics and difficult to everyone we can use the station......"
64, 1 star ,5 months ago,I went to The Clocks Gaming room at the Flinders train station last night. The most representative place in Australia. The security guard request me to show vaccination certificate for entrance. I showed him my Hong Kong Sinovac vaccination …
65, 5 stars ,3 months ago,Well maintained and i have nothing to complain about
66, 5 stars ,3 years ago,What a station. It's so iconic and I was amazed to see both culture and history are combined into a huge building. It is filled with diverse people. One of my favorite stations beside Southern Cross Station. Even when you don't use the …
67, 5 stars ,a year ago,"Very interesting place, with iconic building. Haven't explored every area yet due to lockdown, but certainly love to do so in future.
And the people you see there are soo vibrant ..."
68, 5 stars ,a week ago,Always a pleasure coming to this iconic station. Like the first time all the time.
69, 5 stars ,7 months ago,"Great old Flinders St station.
What can I say? I think that most melburnians know this place well! I was there on freedom Friday around 11.30am. Aside from being reasonably quiet, she is the same old girl operating as usual standing proud in the morning sunshine.  😊"
70, 5 stars ,2 years ago,"Awesome station location!
I used this station most of the time to arrive/depart in and out of the city. Convenient to the river walk, shopping (souvenir shops), hotels, restaurants, …"
71, 5 stars ,3 years ago,"Iconic train station great for photos of Melbourne, can get very busy as is main station so just be aware of your surroundings. Close to Yarra river and many bars near by. When every there’s a sporting event this station is full of crazy people so I would avoid"
72, 4 stars ,a year ago,"Lighting is okay, could be better after hours for safety reasons (especially on the way to the station).
Beautiful views in the morning!"
73, 3 stars ,5 years ago,"It is an icon of Melbourne. The station itself is full of history and architecture. However, lack of management and maintenance. They are starting to do something about it but I think quite late to start acting now. Lots of damages already …"
74, 5 stars ,2 months ago,Spectacularly picturesque!! Shot this over 30secs
75, 5 stars ,a year ago,"Flinders street station is the one of the iconic landmark in Melbourne, is that no any place u can see huge crowd walking around the CBD.
Always fulled with heads."
76, 5 stars ,2 years ago,"Excellent station,  easy to get around and figure out where you need to go. Multiple entrances and exits leading to any number of buses, trams and other forms of transport. Can be a little crowded at peak times during the week, but that is the same everywhere."
